Thu Jun 16 08:45:41 CEST 2016,vaf,1000000,500,1,4100.2,100, 75519
Thu Jun 16 08:46:09 CEST 2016,vaf,1000000,500,2,2098.1,100, 38238
Thu Jun 16 08:46:39 CEST 2016,vaf,1000000,500,4,2090.8,100, 58564
Thu Jun 16 08:47:11 CEST 2016,vaf,1000000,500,8,2194.4,100, 69783
Thu Jun 16 08:47:42 CEST 2016,vaf,1000000,500,16,2265.4,100, 76246
Thu Jun 16 08:48:18 CEST 2016,vaf,1000000,500,100,2668.4,100, 89756
Thu Jun 16 08:50:13 CEST 2016,lsh,1000000,500,1,466.6,100, 774
Thu Jun 16 08:50:24 CEST 2016,lsh,1000000,500,2,408.0,100, 699
Thu Jun 16 08:50:34 CEST 2016,lsh,1000000,500,4,374.1,100, 1920
Thu Jun 16 08:50:44 CEST 2016,lsh,1000000,500,8,410.1,100, 3988
Thu Jun 16 08:50:55 CEST 2016,lsh,1000000,500,16,491.0,100, 7560
Thu Jun 16 08:51:16 CEST 2016,lsh,1000000,500,100,1257.0,100, 32367
Thu Jun 16 08:51:36 CEST 2016,pq,1000000,500,1,262.4,100, 100
Thu Jun 16 08:51:41 CEST 2016,pq,1000000,500,2,235.0,100, 100
Thu Jun 16 08:51:47 CEST 2016,pq,1000000,500,4,225.2,100, 100
Thu Jun 16 08:51:54 CEST 2016,pq,1000000,500,8,200.4,100, 100
Thu Jun 16 08:52:00 CEST 2016,pq,1000000,500,16,216.4,100, 100
Thu Jun 16 08:52:07 CEST 2016,pq,1000000,500,100,360.1,100, 100
Thu Jun 16 08:53:24 CEST 2016,ecp,10000000,10,1,89.4,100, 298
Thu Jun 16 08:53:26 CEST 2016,ecp,10000000,10,2,112.2,100, 190
Thu Jun 16 08:53:28 CEST 2016,ecp,10000000,10,4,106.9,100, 280
Thu Jun 16 08:53:30 CEST 2016,ecp,10000000,10,8,130.4,100, 287
Thu Jun 16 08:53:32 CEST 2016,ecp,10000000,10,16,129.8,100, 255
Thu Jun 16 08:53:38 CEST 2016,ecp,10000000,10,100,377.8,100, 317
Thu Jun 16 08:53:42 CEST 2016,vaf,10000000,10,1,223.8,100, 1633
Thu Jun 16 08:53:44 CEST 2016,vaf,10000000,10,2,139.6,100, 1368
Thu Jun 16 08:53:47 CEST 2016,vaf,10000000,10,4,150.3,100, 3376
Thu Jun 16 08:53:50 CEST 2016,vaf,10000000,10,8,194.0,100, 6474
Thu Jun 16 08:53:53 CEST 2016,vaf,10000000,10,16,247.9,100, 11060
Thu Jun 16 08:54:03 CEST 2016,vaf,10000000,10,100,754.4,100, 39476
Thu Jun 16 08:54:24 CEST 2016,lsh,10000000,10,1,319.2,100, 769
Thu Jun 16 08:54:28 CEST 2016,lsh,10000000,10,2,228.5,100, 715
Thu Jun 16 08:54:32 CEST 2016,lsh,10000000,10,4,220.8,100, 1952
Thu Jun 16 08:54:36 CEST 2016,lsh,10000000,10,8,272.9,100, 4048
Thu Jun 16 08:54:41 CEST 2016,lsh,10000000,10,16,348.2,100, 7643
Thu Jun 16 08:54:54 CEST 2016,lsh,10000000,10,100,980.8,100, 32442
Thu Jun 16 08:55:03 CEST 2016,pq,10000000,10,1,250.4,100, 100
Thu Jun 16 08:55:06 CEST 2016,pq,10000000,10,2,184.5,100, 100
Thu Jun 16 08:55:09 CEST 2016,pq,10000000,10,4,186.6,100, 100
Thu Jun 16 08:55:12 CEST 2016,pq,10000000,10,8,198.3,100, 100
Thu Jun 16 08:55:15 CEST 2016,pq,10000000,10,16,207.7,100, 100
Thu Jun 16 08:55:21 CEST 2016,pq,10000000,10,100,372.9,100, 100
Thu Jun 16 08:58:01 CEST 2016,ecp,10000000,50,1,86.8,100, 417
Thu Jun 16 08:58:04 CEST 2016,ecp,10000000,50,2,130.4,100, 445
Thu Jun 16 08:58:06 CEST 2016,ecp,10000000,50,4,119.0,100, 221
Thu Jun 16 08:58:08 CEST 2016,ecp,10000000,50,8,123.4,100, 545
Thu Jun 16 08:58:11 CEST 2016,ecp,10000000,50,16,136.5,100, 624
Thu Jun 16 08:58:17 CEST 2016,ecp,10000000,50,100,447.6,100, 559
Thu Jun 16 08:58:26 CEST 2016,vaf,10000000,50,1,482.8,100, 7560
Thu Jun 16 08:58:31 CEST 2016,vaf,10000000,50,2,298.3,100, 4733
Thu Jun 16 08:58:35 CEST 2016,vaf,10000000,50,4,310.9,100, 8940
Thu Jun 16 08:58:41 CEST 2016,vaf,10000000,50,8,360.3,100, 14881
